nac,mo_ta,n,EA,PA_strict,PA_loose,no_program,exec_none,phut
01_basic,Nấc 1 — prompt cơ bản (danh sách phép toán + yêu cầu),497,43.46,40.44,34.41,0.2,39.44,9.5
02_prompt_eng,Nấc 2 — prompt hoàn chỉnh (+ hướng dẫn từ khoá + few-shot),497,68.01,63.98,60.36,0.2,1.21,9.7
03_sft,Nấc 3 — + SFT Qwen3-8B,497,70.02,64.19,61.77,0.8,2.62,12.6
04_selfeval_base,Nấc 4 — + self-eval (model gốc),497,69.82,63.58,59.96,0.2,1.81,20.1
05_ace_base,Nấc 5 — + ACE (model gốc),497,69.82,64.39,59.15,0.2,2.01,21.9
06_comb_E_A,Tổ hợp — prompt + ACE (không self-eval),497,66.8,62.37,58.55,0.0,1.81,10.9
08_tu_nhat_quan,Mới — self-consistency K mẫu (ví dụ cố định),497,73.24,67.81,63.38,0.0,0.0,32.6
09_vidu_dong,Mới — self-consistency + ví dụ truy hồi,497,77.87,72.43,69.22,0.0,0.0,29.1
10_bo_chon,Mới — model tự chấm giữa các ứng viên,497,79.28,73.64,70.42,0.0,0.0,3.0
